REGION,SUMMARY,GRANTS,Levenshtein Distance Ratio
SE,NFP WUI East Klickitat,Upper E Klickitat,0.666666667
DIV,CPG - Forest Stewardship - Gibbs,Forest Stewardship - Resource Mgmt,0.666666667
SE,WSFM - Deer Creek,WSFM - Upper Kettle,0.666666667
DIV,CPG - State Fire Assistance - Kaikkonen,State Fire Assitance-NFP,0.666666667
DIV,CPG - State Fire Assistance - Kaikkonen,State Fire Assitance-Recurrent,0.666666667
NE,WSFM - Clear Lake - Boles,WSFM-Bear Lake,0.666666667
DIV,Volunteer Fire Assistance - Johnston,State Fire Assistance - SFA,0.666666667
DIV,Volunteer Fire Assistance - Johnston,State Fire Assistance - Recurrent,0.666666667
SE,Upper Kittatas - Chambers,Upper Kittitas,0.666666667
SE,Upper KittItas - Chambers,Upper Kittitas,0.666666667
SE,East Chelan - Chambers,East Chelan,0.666666667
DIV,State Fire Assistance - Kaikkonen,Volunteer Fire Assistance - VFA,0.65625
DIV,Forest Health Monitoring - Ripley,Forest Health Cooperative,0.655172414
NE,CPG - Genetics Resource - DeBell,Genetic Resources,0.653061224
